ID,Tipo,SKU,Nombre,Publicado,"¿Está destacado?","Visibilidad en el catálogo","Descripción corta",Descripción,"Fecha en que empieza el precio rebajado","Fecha en que termina el precio de oferta","Estado del impuesto","Clase de impuesto","¿En inventario?",Inventario,"Cantidad de bajo inventario","¿Permitir reservas de productos agotados?","Vendido Individualmente?","Peso (kg)","Longitud (cm)","Ancho (cm)","Altura (cm)","¿Permitir reseñas de clientes?","Notas de la compra","Precio de oferta","Precio normal",Categorías,Etiquetas,"Clase de envío",Imágenes,"Límite de descargas","Días de caducidad de la descarga",Superior,"Productos agrupados","Ventas dirigidas","Ventas cruzadas","URL externa","Texto del botón",Posición,"Nombre del atributo 1","Valor(es) del atributo 1","Atributo visible 1","Atributo global 1"
5188,"simple, virtual",,"Wallet Topup",0,0,hidden,,"Auto generated product for wallet recharge please do not delete or update.",,,taxable,,1,,,0,1,,,,,0,,,,Audio,,,,,,,,,,,,0
5205,simple,43327,"Routers Antena Totolink",1,0,visible,"<ul>
 	<li>802.11 IEE 150 MBPS.</li>
 	<li>1 antena.</li>
</ul>","Todo lo que necesitas saber sobre este producto.
<ul>
 	<li>802.11 IEE 150 MBPS</li>
 	<li>1 antena.</li>
</ul>
<strong>CODIGO: 43327</strong>

<strong>MODELO: TL-N100RE</strong>",,,taxable,,1,1,,0,0,,,,,0,,,3093,Tecnología,router,,https://smartpro.com.ar/wp-content/uploads/2021/04/1-Antena-Totolink.jpg,,,,,,,,,0
5208,simple,43330,"Router Noganet - 1 antena",1,0,visible,"<ul>
 	<li>1 antena.</li>
 	<li>Velocidad Wifi de 150 Mbps.</li>
 	<li>Frecuencias 2.4 Ghz.</li>
</ul>","Todo lo que necesitas saber sobre este producto.
<ul>
 	<li>1 antena.</li>
 	<li>Velocidad Wifi de 150 Mbps.</li>
 	<li>Frecuencias 2.4 Ghz.</li>
</ul>
<strong>MODELO: NG-4190</strong>

<strong>CODIGO: 43330</strong>",,,taxable,,1,1,,0,0,,,,,0,,,6354,Tecnología,router,,https://smartpro.com.ar/wp-content/uploads/2021/04/Antena-3G.jpg,,,,,,,,,0
5210,simple,43309,"Receptor adaptador wi-fi",1,0,visible,"<ul>
 	<li>Receptor adaptador wi-fi.</li>
 	<li>Interfase USB 2.0</li>
</ul>","Todo lo que tenes que saber sobre este producto.
<ul>
 	<li>Receptor adaptador wi-fi.</li>
 	<li>Interfase USB 2.0</li>
 	<li>300 Mbps</li>
 	<li>Frecuencia 2.4 Ghz</li>
</ul>
<strong>CODIGO: 43309</strong>

<strong>MODELO: NG-UW03</strong>",,,taxable,,1,,,0,0,,,,,0,,,1100,Tecnología,"receptor de wifi, wifi",,https://smartpro.com.ar/wp-content/uploads/2021/04/Receptor-Adaptador-Nano-Wifi.jpg,,,,,,,,,0
5213,simple,43328,"Router inalámbrico Totolink",1,0,visible,"<ul>
 	<li>2 antenas.</li>
 	<li>Repetidor</li>
</ul>","Todo lo que necesitas saber sobre este producto.
<ul>
 	<li>2 antenas.</li>
 	<li>802.11 IEE</li>
 	<li>300 Mbps</li>
 	<li>Repetidor</li>
</ul>
<strong>MODELO: TL-N200RE</strong>

<strong>CODIGO: 43328</strong>",,,taxable,,1,1,,0,0,,,,,0,,,3227,Tecnología,"router, wifi",,https://smartpro.com.ar/wp-content/uploads/2021/04/Inalambrico-Totolink.jpg,,,,,,,,,0
5215,simple,16715,"Escurridor tijera",1,0,visible,"<ul>
 	<li>Color blanco, en bolsa</li>
 	<li>Bandeja / plegable</li>
</ul>","Todo lo que necesitas saber sobre este producto.
<ul>
 	<li>Color blanco, en bolsa.</li>
 	<li>Sistema plegable.</li>
 	<li>incluye bandeja.</li>
</ul>
<strong>MODELO: 05 311 08</strong>

<strong>CODIGO: 16715</strong>",,,taxable,,1,2,,0,0,,,,,0,,,3330,Hogar,"escurridor de cocina, seca platos",,https://smartpro.com.ar/wp-content/uploads/2021/04/Escurridor-Tijera.jpg,,,,,,,,,0
5217,simple,16716,"Escurridor Luxury",1,0,visible,"<ul>
 	<li>Escurridor de platos Luxury</li>
 	<li>Color blanco.</li>
</ul>","Todo lo que necesitas saber sobre este producto.
<ul>
 	<li>Escurridor de platos</li>
 	<li>Marca Luxury.</li>
 	<li>Color blanco.</li>
 	<li>Incluye bandeja.</li>
 	<li>Incluye cubiertero.</li>
</ul>
<strong>MODELO: 051 300 08</strong>

<strong>CODIGO: 16716</strong>",,,taxable,,1,3,,0,0,,,,,0,,,4950,Hogar,"escurridor de platos, seca platos",,https://smartpro.com.ar/wp-content/uploads/2021/04/Escurridor-Luxury.jpg,,,,,,,,,0
5223,simple,16721,"Chango simple",1,0,visible,"<ul>
 	<li>Chango simple</li>
 	<li>Color blanco</li>
</ul>","Todo lo que tenes que saber sobre este producto.
<ul>
 	<li>Chango para compras simple</li>
 	<li>Color blanco</li>
</ul>
<strong>MODELO: 054 010 08</strong>",,,taxable,,1,2,,0,0,,,,,0,,,5108,Hogar,"carrito de compras, chango de compras",,https://smartpro.com.ar/wp-content/uploads/2021/04/Chango-Simple.jpg,,,,,,,,,0
5225,simple,"30483 - 30483","Mochila para Notebook 14""",1,0,visible,"<ul>
 	<li>Mochila para notebook de 14""</li>
 	<li>Bolsillo interno.</li>
 	<li>Bolsillo frontal.</li>
</ul>","<ul>
 	<li>Mochila para notebook de 14""</li>
 	<li>Bolsillo interno.</li>
 	<li>Bolsillo frontal.</li>
 	<li>Marca: Case Logic.</li>
</ul>
Colores:
<ul>
 	<li>Petrol Green</li>
 	<li>Hudson</li>
</ul>
<strong>MODELO: LARI-144</strong>

<strong>CODIGO: 30484 - 30483</strong>",,,taxable,,1,3,,0,0,,,,,0,,,4993,Tecnología,"mochila, notebook, notebooks",,https://smartpro.com.ar/wp-content/uploads/2021/04/Mochila-para-Notebook-Lari-114.jpg,,,,,,,,,0
5227,simple,"30481 green","Mochila para Notebook 15,6"" petrol green",1,0,visible,"<ul>
 	<li>Mochila para notebook de 15,6""</li>
 	<li>Bolsillo interno.</li>
 	<li>Bolsillo frontal.</li>
</ul>","Todo lo que tenes que saber sobre este producto.
<ul>
 	<li>Mochila para notebook de 15,6""</li>
 	<li>bolsillo interno.</li>
 	<li>Bolsillo frontal.</li>
 	<li>Marca: Case Logic.</li>
</ul>
Colores:
<ul>
 	<li>Petrol Green</li>
</ul>
<strong>MODELO: LARI-115</strong>

<strong>CODIGO: 30481</strong>",,,taxable,,1,3,,0,0,,,,,0,,,6394,Tecnología,"mochila, notebook",,https://smartpro.com.ar/wp-content/uploads/2021/04/Mochila-para-Notebook-Lari115.jpg,,,,,,,,,0
5235,simple,"30469 rojo","Mochila para Notebook 15,6"" Roja",1,0,visible,"Mochila para notebook de 15,6"" con capacidad para accesorios.","Todo lo que necesitas saber sobre este producto.
<ul>
 	<li>Mochila para notebook de 15,6"".</li>
 	<li>Capacidad para accesorios.</li>
 	<li>Marca: Case Logic.</li>
</ul>
Colores:
<ul>
 	<li>Rojo</li>
</ul>
<strong>MODELO: WMBP-115</strong>

<strong>CODIGO: 30469 </strong>",,,taxable,,1,3,,0,0,,,,,0,,,8089,Tecnología,"mochila, notebook",,https://smartpro.com.ar/wp-content/uploads/2021/04/Mochila-para-Notebook-WMBP115.jpg,,,,,,,,,0
